site,date,longitude,latitude,reg01,reg02,reg03,reg04,reg05,reg06,reg07,reg08,reg09,reg10,reg11,reg12,reg13,reg14,reg15,reg16,reg17
text,yyyymmdd,dd,dd,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
SIO,20101107,-117.25,32.8667,5.8619E-02,3.2736E-01,4.8187E-01,2.3173E-01,8.5530E-02,2.6733E-02,5.5700E-01,3.3794E-01,2.5326E-01,1.4035E-01,2.5769E-01,8.5919E-02,2.0007E-02,-6.0567E-01,3.3814E-04,3.4646E-01,-6.4290E-01
SIO,20101109,-117.25,32.8667,3.1478E-02,-2.0911E-02,9.6843E-02,3.9759E-02,9.1793E-03,2.5238E-02,6.7351E-02,5.9764E-02,3.3982E-02,2.2830E-01,-5.6373E-02,1.7202E+00,7.4773E-04,-1.0446E+00,-1.4613E-04,-1.2550E-01,-3.7505E+00
SIO,20101111,-117.25,32.8667,5.0540E-02,3.7728E-02,6.5148E-02,7.0196E-02,1.9198E-03,5.4012E-02,1.7608E-02,1.5534E-02,1.4105E-02,1.3502E-01,1.4306E-02,1.7607E-01,6.1169E-02,-3.0529E-01,3.2503E-03,8.4359E-02,1.5023E-01
SIO,20101113,-117.25,32.8667,8.1631E-03,-4.1955E-03,-1.5688E-02,-6.2682E-03,-6.2119E-04,3.7174E-03,-8.8000E-05,-1.2170E-04,5.5700E-06,8.5659E-02,-2.6121E-04,2.1264E-01,8.1130E-02,-1.4190E-01,-1.2044E-04,-1.8117E-03,-6.2180E+00
SIO,20101115,-117.25,32.8667,2.9907E-02,2.2666E-02,6.8273E-03,1.3688E-01,7.7500E-05,5.3083E-02,0.0000E+00,-4.4655E-04,-9.6800E-08,1.1804E-01,-1.1436E-02,2.4805E-01,9.6125E-02,3.5055E+00,1.0005E-02,-9.3201E-03,-1.3289E+00
SIO,20101117,-117.25,32.8667,2.5652E-02,-4.2867E-03,-1.0292E-03,4.8438E-02,-7.4800E-05,3.5720E-02,-2.6647E-04,1.2395E-03,1.1112E-04,2.9394E-01,1.4218E-03,2.2549E+00,4.0164E-01,5.4816E+00,3.1410E-03,1.4608E-01,-1.6492E+00
SIO,20101119,-117.25,32.8667,1.8658E-02,5.6702E-03,2.3452E-02,1.0789E-01,1.4701E-03,9.8503E-02,2.8412E-02,4.4530E-02,7.0302E-02,3.2527E-01,1.3127E-01,1.0284E+00,8.2586E-01,1.3661E+00,4.7392E-03,4.1258E-01,1.8808E+00
SIO,20101121,-117.25,32.8667,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,-6.2370E-01,0.0000E+00,0.0000E+00,-5.1608E-01
SIO,20101123,-117.25,32.8667,0.0000E+00,3.0400E-06,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,4.8274E-02,0.0000E+00,7.5324E-02,0.0000E+00,0.0000E+00,-3.5289E-02,0.0000E+00,2.7911E-04,-3.3880E-02
SIO,20101125,-117.25,32.8667,-2.6823E-03,-3.5293E-02,-9.1466E-03,5.3319E-03,-1.9043E-03,2.9045E-03,1.0856E-02,1.2527E-02,4.8297E-02,1.7769E-02,7.7789E-02,3.2305E-02,4.0964E-02,-1.4872E+00,3.5912E-04,5.5644E-02,-3.2404E+00
SIO,20101127,-117.25,32.8667,1.5884E-03,-1.3540E-02,-1.1535E-03,2.2495E-03,-1.3963E-03,8.0178E-02,3.8992E-02,5.3229E-02,2.3617E-01,1.1740E-01,8.0891E-01,3.4359E-02,4.7511E-04,-4.7840E-01,1.3585E-04,3.5651E-01,-5.1542E-01
SIO,20101129,-117.25,32.8667,9.4539E-03,2.7541E-02,2.0598E-02,1.5474E-03,3.6924E-03,1.4987E-02,1.6762E-02,9.7483E-03,8.5187E-03,3.2864E-01,-1.2920E-02,9.7066E-01,6.9582E-01,-1.8616E+00,-1.1957E-04,4.6352E-02,3.7296E-02
STB,20101101,-121.8205,39.2055,0.0000E+00,5.2258E-02,1.0006E+00,9.2930E-03,5.5523E-02,0.0000E+00,1.3166E-01,1.3282E-02,9.6236E-04,0.0000E+00,-7.3900E-05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.7144E-04,4.2473E-02
STB,20101103,-121.8205,39.2055,2.1047E-01,1.7191E-01,3.7203E+00,7.8531E-01,7.7667E-02,9.3050E-02,1.8116E-01,3.0195E-01,3.0067E-01,1.2038E-01,2.3017E-02,2.7999E-02,3.3091E-04,7.1996E-04,1.5028E-02,3.4322E-01,1.8243E-01
STB,20101105,-121.8205,39.2055,5.2585E-02,2.1282E-01,-1.0597E+00,3.8999E-02,3.5681E-02,-3.4471E-04,6.5447E-01,2.0522E-02,2.4527E-02,2.4609E-02,3.5535E-02,2.9635E-02,1.3575E-02,1.3352E-02,7.5947E-04,8.7406E-02,2.2812E-02
STB,20101107,-121.8205,39.2055,0.0000E+00,-7.1658E-02,-4.9470E-01,0.0000E+00,-1.3365E-02,8.9400E-08,-1.0907E-01,2.9302E-03,2.7222E-02,-2.9200E-06,2.0256E-02,-3.2300E-05,-1.3100E-05,-1.0149E-04,0.0000E+00,3.4500E-05,1.6717E-02
STB,20101109,-121.8205,39.2055,1.6269E-01,4.7218E-01,-4.4531E-01,-9.1700E-05,6.0981E-01,0.0000E+00,4.8325E-01,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,-5.7939E-02
